[54. 34. 88.]
[60. 40. 82.]
[ 64.  53. 143.]
[ 64.  54. 154.]
[ 53.  46. 105.]
[ 61.  44. 115.]
[50. 33. 90.]
[57. 41. 96.]
[ 49.  41. 111.]
[ 58.  60. 172.]
[ 52.  49. 149.]
[ 64.  59. 150.]
[ 52.  38. 115.]
[ 64.  58. 149.]
[ 70.  63. 154.]
[53. 41. 86.]
[ 70.  57. 168.]
[ 72.  55. 155.]
[43. 31. 88.]
[ 49.  36. 101.]
[ 54.  52. 129.]
[ 49.  44. 121.]
[ 47.  44. 134.]
[ 48.  39. 134.]
[ 63.  59. 137.]
[ 48.  48. 151.]
[ 34.  34. 125.]
[ 49.  41. 124.]
[ 44.  46. 147.]
[ 51.  45. 119.]
[ 55.  50. 153.]
[ 64.  55. 131.]
[ 44.  37. 107.]
[ 45.  42. 117.]
[ 45.  45. 162.]
[ 42.  40. 179.]
[ 47.  54. 184.]
[ 47.  62. 203.]
[ 56.  64. 211.]
[ 55.  58. 171.]
[ 67.  75. 216.]
[ 40.  48. 144.]
[ 55.  52. 157.]
[ 66.  61. 186.]
[ 58.  56. 165.]
[ 55.  69. 213.]
[ 40.  46. 190.]
[ 44.  54. 188.]
[ 51.  54. 196.]
[ 43.  43. 156.]
[ 63.  84. 246.]
[ 57.  66. 203.]
[ 55.  71. 231.]
[ 46.  55. 188.]
[ 53.  65. 205.]
[ 59.  62. 194.]
[ 73.  73. 203.]
[ 48.  41. 139.]
[ 46.  50. 152.]
[ 67.  56. 152.]
[ 42.  49. 183.]
[ 63.  74. 225.]
[ 45.  63. 232.]
[ 57.  81. 245.]
[ 35.  55. 214.]
[ 55.  71. 228.]
[ 56.  75. 222.]
[ 60.  82. 249.]
[ 37.  56. 197.]
[ 59.  73. 199.]
[ 59.  66. 177.]
[ 59.  55. 145.]
[ 82.  78. 167.]
[ 66.  45. 112.]
[ 68.  60. 145.]
[ 47.  59. 200.]
[ 32.  37. 159.]
[ 37.  44. 155.]
[ 70.  82. 215.]
[ 70.  84. 227.]
[ 78.  95. 238.]
[ 79. 101. 249.]
[ 60.  73. 209.]
[ 65.  72. 168.]
[ 61.  68. 180.]
[ 57.  53. 153.]
[ 58.  66. 188.]
[ 73.  62. 149.]
[ 51.  44. 119.]
[ 48.  44. 107.]
[ 50.  62. 205.]
[ 52.  61. 215.]
[ 73.  87. 234.]
[ 56.  70. 215.]
[ 55.  69. 218.]
[ 56.  72. 224.]
[ 58.  75. 219.]
[ 63.  82. 229.]
[ 71.  78. 198.]
[ 52.  56. 157.]
[ 56.  70. 196.]
[ 65.  65. 169.]
[ 68.  65. 179.]
[ 58.  74. 199.]
[ 51.  53. 135.]
[ 57.  76. 212.]
[ 50.  72. 212.]
[ 52.  70. 209.]
[ 56.  86. 241.]
[ 63.  94. 246.]
[ 63.  96. 242.]
[ 63. 107. 234.]
[100. 137. 254.]
[ 77. 104. 237.]
[ 85. 106. 232.]
[ 73.  92. 230.]
[ 54.  73. 195.]
[ 58.  73. 197.]
[ 77.  90. 216.]
[ 73.  79. 172.]
[ 40.  56. 172.]
[ 58.  86. 235.]
[ 54.  91. 243.]
[ 56.  85. 223.]
[ 62.  94. 231.]
[ 80. 122. 246.]
[ 70. 102. 247.]
[ 68. 103. 238.]
[ 72. 137. 252.]
[ 62. 112. 234.]
[ 71. 121. 240.]
[ 65.  96. 232.]
[ 70.  98. 236.]
[ 80. 110. 246.]
[ 54.  71. 193.]
[ 46.  76. 224.]
[ 48.  88. 237.]
[ 61. 103. 233.]
[ 31.  67. 192.]
[ 62. 121. 246.]
[ 76. 156. 254.]
[ 82. 189. 248.]
[ 44. 161. 226.]
[ 46. 132. 224.]
[ 58. 133. 239.]
[ 75. 133. 252.]
[ 25.  42. 134.]
[ 61. 106. 234.]
[ 84. 116. 251.]
[ 75.  93. 236.]
[ 21.  44. 180.]
[ 65. 110. 252.]
[ 55. 101. 246.]
[ 46.  91. 229.]
[ 63. 138. 252.]
[ 80. 204. 254.]
[ 81. 241. 248.]
[ 80. 246. 253.]
[ 89. 227. 255.]
[ 76. 180. 252.]
[ 71. 157. 254.]
[ 11.  38. 133.]
[ 60. 113. 239.]
[ 80. 129. 255.]
[ 69.  92. 195.]
[ 25.  41. 136.]
[ 70.  97. 227.]
[ 67. 103. 219.]
[ 45.  78. 180.]
[ 54.  96. 201.]
[ 54.  97. 207.]
[ 48.  93. 216.]
[ 72. 114. 239.]
